Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 50***
Generation average: -0.87742, best fitness:  -0.68459
***Doing generation 2 of 50***
Generation average: -0.85136, best fitness:  -0.64222
***Doing generation 3 of 50***
Generation average: -0.82515, best fitness:  -0.64222
***Doing generation 4 of 50***
Generation average: -0.80364, best fitness:  -0.56941
***Doing generation 5 of 50***
Generation average: -0.78099, best fitness:  -0.56827
***Doing generation 6 of 50***
Generation average: -0.75898, best fitness:  -0.56486
***Doing generation 7 of 50***
Generation average: -0.73048, best fitness:  -0.50751
***Doing generation 8 of 50***
Generation average: -0.70562, best fitness:  -0.48194
***Doing generation 9 of 50***
Generation average: -0.67868, best fitness:  -0.42854
***Doing generation 10 of 50***
Generation average: -0.65135, best fitness:  -0.42648
***Doing generation 11 of 50***
Generation average: -0.62589, best fitness:  -0.40678
***Doing generation 12 of 50***
