Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 40***
Generation average: -0.70867, best fitness:  -0.55039
***Doing generation 2 of 40***
Generation average: -0.67860, best fitness:  -0.55039
***Doing generation 3 of 40***
Generation average: -0.65286, best fitness:  -0.52108
***Doing generation 4 of 40***
Generation average: -0.62965, best fitness:  -0.51199
***Doing generation 5 of 40***
Generation average: -0.60763, best fitness:  -0.49243
***Doing generation 6 of 40***
Generation average: -0.58826, best fitness:  -0.49195
***Doing generation 7 of 40***
Generation average: -0.56898, best fitness:  -0.44578
***Doing generation 8 of 40***
Generation average: -0.55252, best fitness:  -0.42623
***Doing generation 9 of 40***
Generation average: -0.53658, best fitness:  -0.42623
***Doing generation 10 of 40***
Generation average: -0.51991, best fitness:  -0.40664
***Doing generation 11 of 40***
Generation average: -0.50247, best fitness:  -0.40272
***Doing generation 12 of 40***
Generation average: -0.48650, best fitness:  -0.34051
***Doing generation 13 of 40***
Generation average: -0.47207, best fitness:  -0.34051
***Doing generation 14 of 40***
Generation average: -0.45146, best fitness:  -0.31994
***Doing generation 15 of 40***
Generation average: -0.43605, best fitness:  -0.31994
***Doing generation 16 of 40***
Generation average: -0.41773, best fitness:  -0.31994
***Doing generation 17 of 40***
Generation average: -0.40101, best fitness:  -0.29068
***Doing generation 18 of 40***
Generation average: -0.38410, best fitness:  -0.29068
***Doing generation 19 of 40***
Generation average: -0.36669, best fitness:  -0.27795
***Doing generation 20 of 40***
Generation average: -0.35017, best fitness:  -0.24720
***Doing generation 21 of 40***
Generation average: -0.33443, best fitness:  -0.23073
***Doing generation 22 of 40***
Generation average: -0.31826, best fitness:  -0.22928
***Doing generation 23 of 40***
Generation average: -0.30152, best fitness:  -0.21113
***Doing generation 24 of 40***
Generation average: -0.28565, best fitness:  -0.19988
***Doing generation 25 of 40***
Generation average: -0.26848, best fitness:  -0.19231
***Doing generation 26 of 40***
Generation average: -0.25227, best fitness:  -0.17457
***Doing generation 27 of 40***
Generation average: -0.23864, best fitness:  -0.15598
***Doing generation 28 of 40***
Generation average: -0.22372, best fitness:  -0.14903
***Doing generation 29 of 40***
Generation average: -0.21120, best fitness:  -0.14903
***Doing generation 30 of 40***
Generation average: -0.19813, best fitness:  -0.14007
***Doing generation 31 of 40***
Generation average: -0.18600, best fitness:  -0.12216
***Doing generation 32 of 40***
Generation average: -0.17319, best fitness:  -0.11140
***Doing generation 33 of 40***
Generation average: -0.16162, best fitness:  -0.09592
***Doing generation 34 of 40***
Generation average: -0.15202, best fitness:  -0.09592
***Doing generation 35 of 40***
Generation average: -0.14196, best fitness:  -0.08605
***Doing generation 36 of 40***
Generation average: -0.13147, best fitness:  -0.07837
***Doing generation 37 of 40***
Generation average: -0.12177, best fitness:  -0.06968
***Doing generation 38 of 40***
Generation average: -0.11279, best fitness:  -0.06968
***Doing generation 39 of 40***
Generation average: -0.10266, best fitness:  -0.06227
***Doing generation 40 of 40***
