Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 40***
Generation average: -0.89375, best fitness:  -0.86205
***Doing generation 2 of 40***
Generation average: -0.88842, best fitness:  -0.86205
***Doing generation 3 of 40***
Generation average: -0.88386, best fitness:  -0.85234
***Doing generation 4 of 40***
Generation average: -0.88000, best fitness:  -0.85234
***Doing generation 5 of 40***
Generation average: -0.87606, best fitness:  -0.84619
***Doing generation 6 of 40***
Generation average: -0.87257, best fitness:  -0.83193
***Doing generation 7 of 40***
Generation average: -0.86935, best fitness:  -0.83193
***Doing generation 8 of 40***
Generation average: -0.86577, best fitness:  -0.82735
***Doing generation 9 of 40***
Generation average: -0.86223, best fitness:  -0.82735
***Doing generation 10 of 40***
Generation average: -0.85881, best fitness:  -0.81991
***Doing generation 11 of 40***
Generation average: -0.85472, best fitness:  -0.81896
***Doing generation 12 of 40***
Generation average: -0.85081, best fitness:  -0.81896
***Doing generation 13 of 40***
Generation average: -0.84701, best fitness:  -0.81412
***Doing generation 14 of 40***
Generation average: -0.84297, best fitness:  -0.80132
***Doing generation 15 of 40***
Generation average: -0.83942, best fitness:  -0.80132
***Doing generation 16 of 40***
Generation average: -0.83624, best fitness:  -0.79136
***Doing generation 17 of 40***
Generation average: -0.83211, best fitness:  -0.79136
***Doing generation 18 of 40***
Generation average: -0.82816, best fitness:  -0.79136
***Doing generation 19 of 40***
Generation average: -0.82410, best fitness:  -0.78877
***Doing generation 20 of 40***
Generation average: -0.81977, best fitness:  -0.78172
***Doing generation 21 of 40***
Generation average: -0.81521, best fitness:  -0.78172
***Doing generation 22 of 40***
Generation average: -0.81008, best fitness:  -0.78172
***Doing generation 23 of 40***
Generation average: -0.80459, best fitness:  -0.76577
***Doing generation 24 of 40***
Generation average: -0.80071, best fitness:  -0.76577
***Doing generation 25 of 40***
Generation average: -0.79662, best fitness:  -0.76577
***Doing generation 26 of 40***
Generation average: -0.79303, best fitness:  -0.76322
***Doing generation 27 of 40***
Generation average: -0.78878, best fitness:  -0.76322
***Doing generation 28 of 40***
Generation average: -0.78557, best fitness:  -0.76111
***Doing generation 29 of 40***
Generation average: -0.78202, best fitness:  -0.75526
***Doing generation 30 of 40***
Generation average: -0.77846, best fitness:  -0.74802
***Doing generation 31 of 40***
Generation average: -0.77518, best fitness:  -0.74802
***Doing generation 32 of 40***
Generation average: -0.77129, best fitness:  -0.74802
***Doing generation 33 of 40***
Generation average: -0.76808, best fitness:  -0.74802
***Doing generation 34 of 40***
Generation average: -0.76492, best fitness:  -0.74058
***Doing generation 35 of 40***
Generation average: -0.76202, best fitness:  -0.73584
***Doing generation 36 of 40***
Generation average: -0.75837, best fitness:  -0.73042
***Doing generation 37 of 40***
Generation average: -0.75520, best fitness:  -0.73042
***Doing generation 38 of 40***
Generation average: -0.75271, best fitness:  -0.72892
***Doing generation 39 of 40***
Generation average: -0.75015, best fitness:  -0.72892
***Doing generation 40 of 40***
Generation average: -0.74726, best fitness:  -0.72261
