Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 40***
Generation average: -0.72011, best fitness:  -0.55767
***Doing generation 2 of 40***
Generation average: -0.69147, best fitness:  -0.55075
***Doing generation 3 of 40***
Generation average: -0.66693, best fitness:  -0.50175
***Doing generation 4 of 40***
Generation average: -0.64794, best fitness:  -0.48893
***Doing generation 5 of 40***
Generation average: -0.63106, best fitness:  -0.47886
***Doing generation 6 of 40***
Generation average: -0.61077, best fitness:  -0.45998
***Doing generation 7 of 40***
Generation average: -0.59129, best fitness:  -0.43643
***Doing generation 8 of 40***
Generation average: -0.57050, best fitness:  -0.40054
***Doing generation 9 of 40***
Generation average: -0.55058, best fitness:  -0.37845
***Doing generation 10 of 40***
Generation average: -0.53011, best fitness:  -0.33035
***Doing generation 11 of 40***
Generation average: -0.50652, best fitness:  -0.30348
***Doing generation 12 of 40***
Generation average: -0.48124, best fitness:  -0.28411
***Doing generation 13 of 40***
Generation average: -0.45608, best fitness:  -0.24401
***Doing generation 14 of 40***
Generation average: -0.43125, best fitness:  -0.19226
***Doing generation 15 of 40***
Generation average: -0.40151, best fitness:  -0.19226
***Doing generation 16 of 40***
Generation average: -0.37504, best fitness:  -0.15977
***Doing generation 17 of 40***
Generation average: -0.34552, best fitness:  -0.15377
***Doing generation 18 of 40***
Generation average: -0.31995, best fitness:  -0.15377
***Doing generation 19 of 40***
Generation average: -0.29339, best fitness:  -0.15089
***Doing generation 20 of 40***
Generation average: -0.26917, best fitness:  -0.09949
***Doing generation 21 of 40***
Generation average: -0.24874, best fitness:  -0.09949
***Doing generation 22 of 40***
Generation average: -0.23228, best fitness:  -0.08786
***Doing generation 23 of 40***
Generation average: -0.21292, best fitness:  -0.08786
***Doing generation 24 of 40***
Generation average: -0.19733, best fitness:  -0.08786
***Doing generation 25 of 40***
Generation average: -0.18287, best fitness:  -0.08786
***Doing generation 26 of 40***
Generation average: -0.16787, best fitness:  -0.08519
***Doing generation 27 of 40***
Generation average: -0.15250, best fitness:  -0.06878
***Doing generation 28 of 40***
Generation average: -0.13963, best fitness:  -0.06719
***Doing generation 29 of 40***
Generation average: -0.12662, best fitness:  -0.06251
***Doing generation 30 of 40***
Generation average: -0.11642, best fitness:  -0.06251
***Doing generation 31 of 40***
Generation average: -0.10772, best fitness:  -0.06251
***Doing generation 32 of 40***
Generation average: -0.10024, best fitness:  -0.05150
***Doing generation 33 of 40***
Generation average: -0.09401, best fitness:  -0.05150
***Doing generation 34 of 40***
Generation average: -0.08811, best fitness:  -0.04458
***Doing generation 35 of 40***
Generation average: -0.08217, best fitness:  -0.04386
***Doing generation 36 of 40***
Generation average: -0.07666, best fitness:  -0.03917
***Doing generation 37 of 40***
Generation average: -0.07253, best fitness:  -0.03917
***Doing generation 38 of 40***
Generation average: -0.06818, best fitness:  -0.03848
***Doing generation 39 of 40***
Generation average: -0.06456, best fitness:  -0.03678
***Doing generation 40 of 40***
