Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 86 of 400***
Generation average: -0.29137, best fitness:  -0.28643
***Doing generation 87 of 400***
Generation average: -0.29025, best fitness:  -0.28501
***Doing generation 88 of 400***
Generation average: -0.28867, best fitness:  -0.28392
***Doing generation 89 of 400***
Generation average: -0.28729, best fitness:  -0.28331
***Doing generation 90 of 400***
Generation average: -0.28646, best fitness:  -0.28082
***Doing generation 91 of 400***
Generation average: -0.28496, best fitness:  -0.28008
***Doing generation 92 of 400***
Generation average: -0.28392, best fitness:  -0.27817
***Doing generation 93 of 400***
Generation average: -0.28310, best fitness:  -0.27718
***Doing generation 94 of 400***
Generation average: -0.28222, best fitness:  -0.27688
***Doing generation 95 of 400***
Generation average: -0.28070, best fitness:  -0.27156
***Doing generation 96 of 400***
Generation average: -0.27914, best fitness:  -0.27072
***Doing generation 97 of 400***
Generation average: -0.27836, best fitness:  -0.27072
***Doing generation 98 of 400***
Generation average: -0.27709, best fitness:  -0.26954
***Doing generation 99 of 400***
Generation average: -0.27607, best fitness:  -0.26954
***Doing generation 100 of 400***
Generation average: -0.27554, best fitness:  -0.26776
***Doing generation 101 of 400***
Generation average: -0.27305, best fitness:  -0.26776
***Doing generation 102 of 400***
Generation average: -0.27124, best fitness:  -0.26633
***Doing generation 103 of 400***
Generation average: -0.27006, best fitness:  -0.26633
***Doing generation 104 of 400***
Generation average: -0.26910, best fitness:  -0.26633
***Doing generation 105 of 400***
Generation average: -0.26863, best fitness:  -0.26632
***Doing generation 106 of 400***
Generation average: -0.26809, best fitness:  -0.26431
***Doing generation 107 of 400***
Generation average: -0.26744, best fitness:  -0.26431
***Doing generation 108 of 400***
Generation average: -0.26656, best fitness:  -0.26431
***Doing generation 109 of 400***
Generation average: -0.26621, best fitness:  -0.26312
***Doing generation 110 of 400***
Generation average: -0.26639, best fitness:  -0.26276
***Doing generation 111 of 400***
Generation average: -0.26598, best fitness:  -0.25172
***Doing generation 112 of 400***
