Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 35***
Generation average: -0.55134, best fitness:  -0.44277
***Doing generation 2 of 35***
Generation average: -0.52853, best fitness:  -0.43027
***Doing generation 3 of 35***
Generation average: -0.50974, best fitness:  -0.43027
***Doing generation 4 of 35***
Generation average: -0.49519, best fitness:  -0.41599
***Doing generation 5 of 35***
Generation average: -0.48227, best fitness:  -0.40501
***Doing generation 6 of 35***
Generation average: -0.46698, best fitness:  -0.39373
***Doing generation 7 of 35***
Generation average: -0.45351, best fitness:  -0.38174
***Doing generation 8 of 35***
Generation average: -0.43966, best fitness:  -0.36131
***Doing generation 9 of 35***
Generation average: -0.42774, best fitness:  -0.35568
***Doing generation 10 of 35***
Generation average: -0.41478, best fitness:  -0.33150
***Doing generation 11 of 35***
Generation average: -0.40484, best fitness:  -0.33150
***Doing generation 12 of 35***
Generation average: -0.39301, best fitness:  -0.32973
***Doing generation 13 of 35***
Generation average: -0.38285, best fitness:  -0.31988
***Doing generation 14 of 35***
Generation average: -0.37226, best fitness:  -0.31988
***Doing generation 15 of 35***
Generation average: -0.36331, best fitness:  -0.31752
***Doing generation 16 of 35***
Generation average: -0.35490, best fitness:  -0.29875
***Doing generation 17 of 35***
Generation average: -0.34520, best fitness:  -0.28717
***Doing generation 18 of 35***
Generation average: -0.33824, best fitness:  -0.28717
***Doing generation 19 of 35***
Generation average: -0.32953, best fitness:  -0.28717
***Doing generation 20 of 35***
Generation average: -0.32261, best fitness:  -0.28405
***Doing generation 21 of 35***
Generation average: -0.31549, best fitness:  -0.27442
***Doing generation 22 of 35***
Generation average: -0.30895, best fitness:  -0.26832
***Doing generation 23 of 35***
Generation average: -0.30220, best fitness:  -0.26832
***Doing generation 24 of 35***
Generation average: -0.29498, best fitness:  -0.26072
***Doing generation 25 of 35***
Generation average: -0.28922, best fitness:  -0.25849
***Doing generation 26 of 35***
Generation average: -0.28310, best fitness:  -0.25436
***Doing generation 27 of 35***
Generation average: -0.27692, best fitness:  -0.24765
***Doing generation 28 of 35***
Generation average: -0.27182, best fitness:  -0.24570
***Doing generation 29 of 35***
Generation average: -0.26683, best fitness:  -0.23943
***Doing generation 30 of 35***
Generation average: -0.26138, best fitness:  -0.23022
***Doing generation 31 of 35***
Generation average: -0.25665, best fitness:  -0.22859
***Doing generation 32 of 35***
Generation average: -0.25161, best fitness:  -0.22306
***Doing generation 33 of 35***
Generation average: -0.24686, best fitness:  -0.22306
***Doing generation 34 of 35***
Generation average: -0.24282, best fitness:  -0.21998
***Doing generation 35 of 35***
Generation average: -0.23886, best fitness:  -0.21588
