Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 1 of 50***
Generation average: -0.92868, best fitness:  -0.86850
***Doing generation 2 of 50***
Generation average: -0.99319, best fitness:  -0.86850
***Doing generation 3 of 50***
Generation average: -0.99964, best fitness:  -0.86850
***Doing generation 4 of 50***
Generation average: -1.00011, best fitness:  -0.86850
***Doing generation 5 of 50***
Generation average: -0.99961, best fitness:  -0.86850
***Doing generation 6 of 50***
Generation average: -1.00067, best fitness:  -0.86850
***Doing generation 7 of 50***
Generation average: -1.00027, best fitness:  -0.86850
***Doing generation 8 of 50***
Generation average: -0.99989, best fitness:  -0.86850
***Doing generation 9 of 50***
Generation average: -1.00005, best fitness:  -0.86850
***Doing generation 10 of 50***
Generation average: -1.00017, best fitness:  -0.86850
***Doing generation 11 of 50***
Generation average: -1.00031, best fitness:  -0.86850
***Doing generation 12 of 50***
Generation average: -0.99974, best fitness:  -0.86850
***Doing generation 13 of 50***
Generation average: -0.99963, best fitness:  -0.86850
***Doing generation 14 of 50***
Generation average: -1.00022, best fitness:  -0.86850
***Doing generation 15 of 50***
Generation average: -0.99935, best fitness:  -0.86850
***Doing generation 16 of 50***
Generation average: -1.00048, best fitness:  -0.86850
***Doing generation 17 of 50***
Generation average: -0.99985, best fitness:  -0.86850
***Doing generation 18 of 50***
Generation average: -0.99968, best fitness:  -0.86850
***Doing generation 19 of 50***
Generation average: -0.99952, best fitness:  -0.86656
***Doing generation 20 of 50***
Generation average: -0.99846, best fitness:  -0.86656
***Doing generation 21 of 50***
Generation average: -1.00027, best fitness:  -0.86656
***Doing generation 22 of 50***
Generation average: -0.99957, best fitness:  -0.86656
***Doing generation 23 of 50***
Generation average: -1.00004, best fitness:  -0.86656
***Doing generation 24 of 50***
Generation average: -0.99989, best fitness:  -0.86651
***Doing generation 25 of 50***
Generation average: -0.99987, best fitness:  -0.86651
***Doing generation 26 of 50***
